_id,industries
tB9CwmjWW9GBER7O4Q0s3w_0000,"[{""name"":""logistics and supply chain"",""is_primary"":true}]"
'-lK4k7FJR2IiG5oA7zez9w_0000,[]
OAzh9UUQevdh9CPimb85fw_0000,"[{""name"":""commercial real estate"",""is_primary"":true}]"
hBj-mxRNOSAdUeGXncqWMQ_0000,[]
ElB7xACs16VuyS3wkLTHZg_0000,"[{""name"":""utilities"",""is_primary"":true}]"
qGHnEfZJB0TEqyKfoLaAsg_0000,"[{""name"":""construction"",""is_primary"":true}]"
L2oGoB4WHN-DqvRfmzoXww_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
ZnMVPvhdmzdP3kS-nWvNkg_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
zCvGxUNCJJN94Y-N16ujgA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
HgWBrhRhWqJTrabVsWTKfQ_0000,"[{""name"":""aviation & aerospace"",""is_primary"":true}]"
6u6elen1rpmkoZmJzMOIfg_0000,"[{""name"":""oil & energy"",""is_primary"":true}]"
JZUweOBtVUDSaMyimhlSkw_0000,"[{""name"":""public relations and communications"",""is_primary"":true}]"
Sd2Na5nYQGeD-zMPgGfhzA_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
GZWc3JwOBRdI43A3NLTo9Q_0000,[]
AB-fIOLo8m2UaiYehrHpEg_0000,"[{""name"":""luxury goods & jewelry"",""is_primary"":true}]"
3o1U65YWG25zJyFxchBD5w_0000,[]
lm-YJMQ6n09hLdUOmjubaA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
6BgYWbYUOiZ4NscFSDiw5w_0000,[]
rc-J1b7LwIurAuAJw60XFQ_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
wLHlAvTk6yQLNDv0i9tnhw_0000,"[{""name"":""publishing"",""is_primary"":true}]"
3MneupwZEniJxEkIvrcZbg_0000,"[{""name"":""higher education"",""is_primary"":true}]"
MWT2S28m2It3dUFUP6Sx7g_0000,"[{""name"":""management consulting"",""is_primary"":true}]"
hIMn84iK60vwoISx2Cb4pw_0000,"[{""name"":""banking"",""is_primary"":true}]"
C-NqjN2fe6z0QTlyoq9E6A_0000,"[{""name"":""real estate"",""is_primary"":true}]"
8kl-RVb-u9BhXmmj-pxX0A_0000,"[{""name"":""retail"",""is_primary"":true}]"
MGFVSSBgvvgZsNwg5U7JvQ_0000,"[{""name"":""law practice"",""is_primary"":true}]"
Cts3ZzE99yxeyxR7wRErfg_0000,[]
'-Cata0fsEG16sD-waCbMFQ_0000,"[{""name"":""retail"",""is_primary"":true}]"
i-1P158zQ3-zXx3Kog2ykQ_0000,"[{""name"":""biotechnology"",""is_primary"":true}]"
YPyyJLuEWDn9cB53nr1fYA_0000,"[{""name"":""investment management"",""is_primary"":true}]"
yuEupREOd-M6pUBzNBjhCg_0000,"[{""name"":""telecommunications"",""is_primary"":true}]"
CZVaBOxSGYmeBCizR2z15w_0000,"[{""name"":""financial services"",""is_primary"":true}]"
AdxMQf25XZhLBhJJvSGSww_0000,"[{""name"":""information technology and services"",""is_primary"":true}]"
3tOd-R4OfGuEahH9OvTjqA_0000,[]
fB7ZQmBeXA7FECkwm68WBg_0000,"[{""name"":""international trade and development"",""is_primary"":true}]"
cBlC6JyBIFzsUMrGZKsM-A_0000,[]
b1gQB4gEnGMNceJ0gXcpOg_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
1V0s-04UQ7ksrT9OfjfbCw_0000,"[{""name"":""apparel & fashion"",""is_primary"":true}]"
H6bReA4uqrFVByfEbA-nWQ_0000,"[{""name"":""real estate"",""is_primary"":true}]"
YQmWV4VbGw8kkB0EbO6new_0000,[]
LEiysiYgjwOsOwQRoByJFw_0000,"[{""name"":""non-profit organization management"",""is_primary"":true}]"
CpNxIJfzzkMswPtI3nKVtA_0000,[]
NfdbS3PBFPl9jppb4ZdWPQ_0000,"[{""name"":""higher education"",""is_primary"":true}]"
iB1nO7l8dcCxDfgtbBWdrw_0000,"[{""name"":""events services"",""is_primary"":true}]"
UN9zyZLoBTrpGsjTHf9nvg_0000,"[{""name"":""research"",""is_primary"":true}]"
xx4sPxZv8vTMXd3QFV3YEA_0000,"[{""name"":""insurance"",""is_primary"":true}]"
HST20Qaz2w5lcQ3jOyY0KQ_0000,"[{""name"":""real estate"",""is_primary"":true}]"
wMMXnAJFK-RqQ4ABsDHi2A_0000,"[{""name"":""financial services"",""is_primary"":true}]"
hu7q0IWlGimTu0RFlnBNfQ_0000,"[{""name"":""telecommunications"",""is_primary"":true}]"
hSsBNgiMBKs-0CKlsql67Q_0000,"[{""name"":""financial services"",""is_primary"":true}]"
dkvWrKkx5fSUvE3erw43Tg_0000,"[{""name"":""higher education"",""is_primary"":true}]"
mFipOVKE4osdkYHE0jyGqQ_0000,"[{""name"":""investment banking"",""is_primary"":true}]"
'-lVDrCBdtP2YexExeePdcw_0000,"[{""name"":""management consulting"",""is_primary"":true}]"
GF0DqacAlDpKhgeKhs9U1g_0000,"[{""name"":""entertainment"",""is_primary"":true}]"
lRPqzewhURRY2xNPwUBB3Q_0000,"[{""name"":""real estate"",""is_primary"":true}]"
OLcBBuLHqUViG2iSo0dQJA_0000,"[{""name"":""management consulting"",""is_primary"":true}]"
z-nrLAOq0ZBRZp5JBa9DRg_0000,"[{""name"":""design"",""is_primary"":true}]"
SjHJ10jIUczFELDFulYK-w_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
DX0J2WR4MlcaSsHX4yJwqw_0000,[]
ebvEiVK2LZ7t92EBEYhFlQ_0000,"[{""name"":""financial services"",""is_primary"":true}]"
SDmCN1MI8ii6ZYyuQF9AoQ_0000,"[{""name"":""marketing and advertising"",""is_primary"":true}]"
eJzEtZHv7n7P1gYpZkiLZQ_0000,"[{""name"":""education management"",""is_primary"":true}]"
z7tpY7JTlQkz-LkmLy6kYw_0000,"[{""name"":""higher education"",""is_primary"":true}]"
im9abqtcVOEyuyjCBkHd5g_0000,"[{""name"":""health, wellness and fitness"",""is_primary"":true}]"
CEVT7VSyg-TKdCkp3x91vQ_0000,"[{""name"":""veterinary"",""is_primary"":true}]"
T73MmQIFnwBDx6zWR4om9w_0000,"[{""name"":""management consulting"",""is_primary"":true}]"
r2dDBHMjW0xTINVf56xaQA_0000,"[{""name"":""financial services"",""is_primary"":true}]"
ZRvK2bxGE75zcHrtIEIPeA_0000,"[{""name"":""hospital & health care"",""is_primary"":true}]"
gtnw6CLX7DYDYIAIpcXvfw_0000,"[{""name"":""real estate"",""is_primary"":true}]"
